division_iso_two,topic,keywords[list],query url
BD-G,Infrastructure,park; housing complex; housing complex; housing complex,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=park,housing%20complex,housing%20complex,housing%20complex,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,building; building; electricity; funding,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=building,building,electricity,funding,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,funding; recruitment; capacity; capacity,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=funding,recruitment,capacity,capacity,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,traffic; traffic; overcrowding; damage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=traffic,traffic,overcrowding,damage,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,broken; open; close; project,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=broken,open,close,project,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,project; wait; delay; delay,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=project,wait,delay,delay,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,primary; primary; secondary; tertiary,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=primary,primary,secondary,tertiary,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,tertiary; neglect; settlement; shop,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=tertiary,neglect,settlement,shop,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,resettlement; slum; removal; gentrification,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=resettlement,slum,removal,gentrification,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,interruption; pharmacy; sewerage; hotel,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=interruption,pharmacy,sewerage,hotel,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,polling station; office; directorate; sanitation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=polling%20station,office,directorate,sanitation,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,suburb; suburb; suburbs; suburbs,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=suburb,suburb,suburbs,suburbs,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,insurance; power station; energy; fire,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=insurance,power%20station,energy,fire,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,mall; inadequate; improvement; polling centre,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=mall,inadequate,improvement,polling%20centre,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,housing; drinking water; salon; service,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=housing,drinking%20water,salon,service,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,service; communications; power lines; liquor store,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=service,communications,power%20lines,liquor%20store,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,liquor store; taxi; unit; housing unit,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=liquor%20store,taxi,unit,housing%20unit,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,housing crisis; crowd; clean; dirty,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=housing%20crisis,crowd,clean,dirty,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,failure; rebuilding; equipment; treatment,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=failure,rebuilding,equipment,treatment,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,internet; phone line; electricity generator; generator,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=internet,phone%20line,electricity%20generator,generator,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,college; nursery; dam; desalination,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=college,nursery,dam,desalination,%2Fm%2F02nf_&hl=en-US"
BD-G,Infrastructure,desalination; factory; factory,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=desalination,factory,factory,%2Fm%2F02nf_&hl=en-US"
