division_iso_two,topic,keywords[list],query url
BD-C,Other words,governorate; governorate; province; province,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=governorate,governorate,province,province,%2Fm%2F02nf_&hl=en-US"
BD-C,Other words,province; state; civil; civil,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=province,state,civil,civil,%2Fm%2F02nf_&hl=en-US"
BD-C,Other words,civil; society,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=civil,society,%2Fm%2F02nf_&hl=en-US"
