division_iso_two,topic,keywords[list],query url
BD-C,"Insecurities - Health, Food, Ph",shelling; shelling; shells; shells,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=shelling,shelling,shells,shells,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",shells; force; bomb; warring,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=shells,force,bomb,warring,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",gun; soldiers; rebel; unrest,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=gun,soldiers,rebel,unrest,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",unrest; troubled; insurgent; dead,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=unrest,troubled,insurgent,dead,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",revolutionary; killed; crisis; victim,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=revolutionary,killed,crisis,victim,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",arrest; detention; detainee; prisoner,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=arrest,detention,detainee,prisoner,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",detention centre; indiscriminate; checkpoint; operation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=detention%20centre,indiscriminate,checkpoint,operation,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",operation; torture; elements; execute,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=operation,torture,elements,execute,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",execute; withdrawal; feud; weapons,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=execute,withdrawal,feud,weapons,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",kidnapping; body; ransom; ammunition,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=kidnapping,body,ransom,ammunition,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",martyr; martyred; roadside bomb; injured,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=martyr,martyred,roadside%20bomb,injured,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",rounds; patrol; victim; target,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=rounds,patrol,victim,target,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",scared; stressed; stressed; hiding,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=scared,stressed,stressed,hiding,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",scare; cry; cry; violent,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=scare,cry,cry,violent,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",infection; virus; contaminated; death,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=infection,virus,contaminated,death,%2Fm%2F02nf_&hl=en-US"
BD-C,"Insecurities - Health, Food, Ph",protection; neglect,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=protection,neglect,%2Fm%2F02nf_&hl=en-US"
