division_iso_two,topic,keywords[list],query url
BD-D,Other words,governorate; governorate; province; province,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=governorate,governorate,province,province,%2Fm%2F02nf_&hl=en-US"
BD-D,Other words,province; state; civil; civil,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=province,state,civil,civil,%2Fm%2F02nf_&hl=en-US"
BD-D,Other words,civil; society,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=civil,society,%2Fm%2F02nf_&hl=en-US"
